provider,job_id,backend,status,created_at,started_at,ended_at,runtime_ms,shots,benchmark_hint,input_format,n_qubits,depth,n_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,measure_ops,gate_counts_json,qbacmet_framework,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,circuit_metrics_json,session_id
ibmq,d5bvktvp3tbc73auh7d0,ibm_boston,Completed,2026-01-02 17:03:51.295113+00:00,2026-01-02 17:03:52.014789+00:00,2026-01-02 17:08:08.574401+00:00,256559.61200000002,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bvitfp3tbc73auh5fg,ibm_boston,Completed,2026-01-02 16:59:33.900469+00:00,2026-01-02 16:59:34.669855+00:00,2026-01-02 17:03:49.274883+00:00,254605.028,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bvgv0nsj9s73b91rfg,ibm_boston,Completed,2026-01-02 16:55:24.685298+00:00,2026-01-02 16:55:25.857724+00:00,2026-01-02 16:59:31.599768+00:00,245742.044,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bvf0jht8fs73a72f9g,ibm_boston,Completed,2026-01-02 16:51:14.720705+00:00,2026-01-02 16:51:15.548627+00:00,2026-01-02 16:55:22.560345+00:00,247011.718,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bvd28nsj9s73b91nk0,ibm_boston,Completed,2026-01-02 16:47:05.252709+00:00,2026-01-02 16:47:05.976540+00:00,2026-01-02 16:51:12.615205+00:00,246638.665,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bvb3np3tbc73augtrg,ibm_boston,Completed,2026-01-02 16:42:54.705357+00:00,2026-01-02 16:42:55.354109+00:00,2026-01-02 16:47:03.574806+00:00,248220.69700000001,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bv94bht8fs73a729g0,ibm_boston,Completed,2026-01-02 16:38:41.734761+00:00,2026-01-02 16:38:42.492073+00:00,2026-01-02 16:42:52.449780+00:00,249957.707,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bv75np3tbc73augqa0,ibm_boston,Completed,2026-01-02 16:34:30.272590+00:00,2026-01-02 16:34:31.373283+00:00,2026-01-02 16:38:38.578604+00:00,247205.321,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bv56hsmlfc739mssbg,ibm_boston,Completed,2026-01-02 16:30:19.409135+00:00,2026-01-02 16:30:20.122222+00:00,2026-01-02 16:34:28.346034+00:00,248223.812,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bv381smlfc739msqk0,ibm_boston,Completed,2026-01-02 16:26:09.555527+00:00,2026-01-02 16:26:10.396123+00:00,2026-01-02 16:30:16.553813+00:00,246157.69,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bv191smlfc739msos0,ibm_boston,Completed,2026-01-02 16:21:56.419006+00:00,2026-01-02 16:21:57.160223+00:00,2026-01-02 16:26:06.529646+00:00,249369.423,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5buvaonsj9s73b91am0,ibm_boston,Completed,2026-01-02 16:17:47.178279+00:00,2026-01-02 16:17:48.484592+00:00,2026-01-02 16:21:54.650097+00:00,246165.505,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5butb0nsj9s73b918rg,ibm_boston,Completed,2026-01-02 16:13:32.922997+00:00,2026-01-02 16:13:33.777708+00:00,2026-01-02 16:17:45.290143+00:00,251512.435,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bur8np3tbc73augfjg,ibm_boston,Completed,2026-01-02 16:09:06.997358+00:00,2026-01-02 16:09:08.126001+00:00,2026-01-02 16:13:30.436863+00:00,262310.86199999996,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bupafp3tbc73augdpg,ibm_boston,Completed,2026-01-02 16:04:57.733793+00:00,2026-01-02 16:04:58.098886+00:00,2026-01-02 16:09:04.875870+00:00,246776.984,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5buncgnsj9s73b913f0,ibm_boston,Completed,2026-01-02 16:00:50.148263+00:00,2026-01-02 16:00:50.860270+00:00,2026-01-02 16:04:55.835002+00:00,244974.732,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bulebht8fs73a71nkg,ibm_boston,Completed,2026-01-02 15:56:41.862250+00:00,2026-01-02 15:56:42.302516+00:00,2026-01-02 16:00:48.292928+00:00,245990.41199999998,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5buje9smlfc739mscfg,ibm_boston,Completed,2026-01-02 15:52:25.722529+00:00,2026-01-02 15:52:26.570237+00:00,2026-01-02 15:56:39.493072+00:00,252922.835,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5buhb9smlfc739msakg,ibm_boston,Completed,2026-01-02 15:47:57.288052+00:00,2026-01-02 15:47:58.304804+00:00,2026-01-02 15:52:23.920401+00:00,265615.59699999995,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bufd3ht8fs73a71i60,ibm_boston,Completed,2026-01-02 15:43:48.338360+00:00,2026-01-02 15:43:49.400211+00:00,2026-01-02 15:47:55.447795+00:00,246047.584,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bude1smlfc739ms73g,ibm_boston,Completed,2026-01-02 15:39:36.687000+00:00,2026-01-02 15:39:37.686502+00:00,2026-01-02 15:43:46.090718+00:00,248404.216,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bubfrht8fs73a71ekg,ibm_boston,Completed,2026-01-02 15:35:27.956808+00:00,2026-01-02 15:35:28.776123+00:00,2026-01-02 15:39:34.939510+00:00,246163.387,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bu9gonsj9s73b90mhg,ibm_boston,Completed,2026-01-02 15:31:15.915396+00:00,2026-01-02 15:31:16.518562+00:00,2026-01-02 15:35:26.080365+00:00,249561.80299999999,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bu7ivp3tbc73auftn0,ibm_boston,Completed,2026-01-02 15:27:07.435540+00:00,2026-01-02 15:27:08.145430+00:00,2026-01-02 15:31:13.852347+00:00,245706.91700000002,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bu5ionsj9s73b90is0,ibm_boston,Completed,2026-01-02 15:22:51.644099+00:00,2026-01-02 15:22:52.992999+00:00,2026-01-02 15:27:05.722687+00:00,252729.68800000002,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bu3k9smlfc739mru4g,ibm_boston,Completed,2026-01-02 15:18:41.237184+00:00,2026-01-02 15:18:42.012294+00:00,2026-01-02 15:22:49.702355+00:00,247690.061,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bu1ljht8fs73a715lg,ibm_boston,Completed,2026-01-02 15:14:31.608250+00:00,2026-01-02 15:14:32.366760+00:00,2026-01-02 15:18:38.677247+00:00,246310.487,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5btvn8nsj9s73b90dm0,ibm_boston,Completed,2026-01-02 15:10:21.144724+00:00,2026-01-02 15:10:22.303990+00:00,2026-01-02 15:14:28.130546+00:00,245826.556,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bttojht8fs73a71260,ibm_boston,Completed,2026-01-02 15:06:10.394132+00:00,2026-01-02 15:06:12.292906+00:00,2026-01-02 15:10:18.660362+00:00,246367.456,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5btrivp3tbc73aufiv0,ibm_boston,Completed,2026-01-02 15:01:31.110170+00:00,2026-01-02 15:01:31.529941+00:00,2026-01-02 15:06:08.546747+00:00,277016.806,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5btpkfp3tbc73aufh80,ibm_boston,Completed,2026-01-02 14:57:21.084376+00:00,2026-01-02 14:57:21.841054+00:00,2026-01-02 15:01:27.982645+00:00,246141.59100000001,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
