benchmark,size,backend,sub_backend,device,run_mode,n_nodes,n_processes,runtime_ms,n_qubits,depth,width,n_clbits,n_ops,n_gates,n_parameters,n_connected_components,n_measure_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,four_qubit_gates,num_separable_circuits,num_tensor_factors,num_serial_layers,qc_width_total,num_registers,num_cregs,num_ancillas,idle_wires,global_phase,dag_size_ops,dag_edge_count,longest_path_len,num_control_flow_ops,num_barriers,num_distinct_twoq_pairs,touch_min,touch_max,touch_avg,clifford_count,nonclifford_count,measure_fraction,total_gate_params,avg_gate_params,std_gate_params,min_gate_params,max_gate_params,num_controlled_gates,num_unitary_factors,dag_duration,qc_duration,gate_barrier,gate_ccx,gate_cp,gate_cu,gate_cx,gate_cz,gate_h,gate_measure,gate_p,gate_rx,gate_ry,gate_rz,gate_s,gate_swap,gate_u2,job_id,status,created_at,started_at,ended_at,measure_ops,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,gate_counts_json,circuit_metrics_json
ghz,4,tnqvm,exatn-mps,CPU,sync,1,4,871.3796138763428,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,ionq,simulator,CPU,sync,1,4,2634.7737312316895,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,ionq,simulator,CPU,sync,1,4,2227.278709411621,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,ionq,simulator,CPU,sync,1,4,2267.7676677703857,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,ionq,simulator,CPU,sync,1,4,2634.7737312316895,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,ionq,simulator,CPU,sync,1,4,2227.278709411621,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,ionq,simulator,CPU,sync,1,4,2267.7676677703857,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,ionq,simulator,CPU,sync,1,8,2578.4761905670166,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,nwqsim,MPI,CPU,sync,1,4,616.0218715667725,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,nwqsim,MPI,CPU,sync,1,4,348.2205867767334,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,nwqsim,MPI,CPU,sync,1,4,349.46250915527344,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,nwqsim,MPI,CPU,sync,1,4,616.0218715667725,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,nwqsim,MPI,CPU,sync,1,4,348.2205867767334,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,nwqsim,MPI,CPU,sync,1,4,349.46250915527344,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,automatic,CPU,sync,1,4,7445.212602615356,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,automatic,CPU,sync,1,4,6301.9843101501465,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,automatic,CPU,sync,1,4,6820.240020751953,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,automatic,CPU,sync,1,4,7445.212602615356,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,automatic,CPU,sync,1,4,6301.9843101501465,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,automatic,CPU,sync,1,4,6820.240020751953,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,statevector,CPU,sync,1,4,7009.373188018799,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,statevector,CPU,sync,1,4,6399.201154708862,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,statevector,CPU,sync,1,4,7016.643762588501,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,statevector,CPU,sync,1,4,7009.373188018799,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,statevector,CPU,sync,1,4,6399.201154708862,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,statevector,CPU,sync,1,4,7016.643762588501,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,matrix_product_state,CPU,sync,1,4,7964.826583862305,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,matrix_product_state,CPU,sync,1,4,7679.581165313721,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,matrix_product_state,CPU,sync,1,4,7255.852937698364,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,matrix_product_state,CPU,sync,1,4,7964.826583862305,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,matrix_product_state,CPU,sync,1,4,7679.581165313721,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qiskitaer,matrix_product_state,CPU,sync,1,4,7255.852937698364,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qtensor,numpy,CPU,sync,1,4,23170.56369781494,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qtensor,numpy,CPU,sync,1,4,20175.689697265625,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qtensor,numpy,CPU,sync,1,4,21326.536178588867,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qtensor,numpy,CPU,sync,1,4,23170.56369781494,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ghz,4,qtensor,numpy,CPU,sync,1,4,20175.689697265625,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
